#Transaction Date,Coin Name,Transaction Volume,Transaction Price,Transaction type,Transaction Commission Type,Transaction commission Rate,Transaction Currency,Exchange Name
#Transaction Type,1-BUY,2-SELL,3-DEPOSIT,4-WITHDRAWAL
29/04/2018 22:24:52,EOS,1.10,1050,2,2,0.0015,INR,KIONEX
29/04/2018 22:24:55,EOS,2,950,1,2,0.0015,INR,KIONEX
29/04/2018 09:19:19,ONT,1.36,0.011109,1,1,0.001,ETH,BINANCE
29/04/2018 19:40:59,SUB,9,0.00120425,1,1,0.001,ETH,BINANCE
29/04/2018 09:51:38,IOST,180,0.00008350,1,1,0.0010,ETH,BINANCE
29/04/2018 18:23:19,XVG,108,0.00010200,1,1,0.0010,ETH,BINANCE
29/04/2018 22:24:52,ONT,1.35,0.012000,2,1,0.0010,ETH,BINANCE
30/04/2018 01:28:33,DNT,108,0.00015125,1,1,0.0010,ETH,BINANCE
30/04/2018 15:42:46,XVG,107,0.00012000,2,1,0.0010,ETH,BINANCE
01/05/2018 15:40:00,SUB,8,0.00132456,2,1,0.0010,ETH,BINANCE
01/05/2018 07:06:39,STORM,112,0.00009501,1,1,0.0010,ETH,BINANCE
01/05/2018 20:08:35,CHAT,66,0.00019496,1,1,0.0010,ETH,BINANCE
02/05/2018 22:33:24,MANA,61,0.00025000,1,1,0.0010,ETH,BINANCE
03/05/2018 03:33:00,SUB,23,0.00120000,1,1,0.0010,ETH,BINANCE
03/05/2018 07:11:06,XVG,145,0.00011350,1,1,0.0010,ETH,BINANCE
03/05/2018 07:34:52,ICX,3.61,0.0062900,1,1,0.0010,ETH,BINANCE
04/05/2018 09:16:50,IOST,120,0.00008450,2,1,0.0010,ETH,BINANCE
04/05/2018 20:00:49,CHAT,65,0.000197,2,1,0.0010,ETH,BINANCE
05/05/2018 04:54:19,XVG,123,0.00009286,1,1,0.0010,ETH,BINANCE
05/05/2018 20:14:46,BTS,28,0.00041000,1,1,0.0010,ETH,BINANCE
11/05/2018 20:48:27,SUB,20,0.00081000,1,1,0.0010,ETH,BINANCE
11/05/2018 21:23:06,SNT,73,0.00001370,1,1,0.001,BTC,BINANCE
13/05/2018 12:04:53,KMD,5.33,0.00035400,1,1,0.001,BTC,BINANCE
17/05/2018 11:38:18,KMD,5.32,0.00039000,2,1,0.001,BTC,BINANCE
17/05/2018 22:36:36,VEN,2,0.00051500,1,1,0.001,BTC,BINANCE
23/05/2018 07:18:11,BCN,1035,0.00000101,1,1,0.001,BTC,BINANCE